dataset,commodity,unit_source,is_total,year,measure_type,value,unit
MALAY_IMPORT,Live sheep,No,FALSE,2018,value_cif,27.76,million_rm
MALAY_IMPORT,Live swine,No,FALSE,2018,quantity,256,head
MALAY_IMPORT,Live swine,No,FALSE,2018,value_cif,2.42,million_rm
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2018,quantity,36307.5,tonnes
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2018,value_cif,732.9,million_rm
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2018,quantity,72589.3,tonnes
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2018,value_cif,650.87,million_rm
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2018,quantity,24365.3,tonnes
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2018,value_cif,287.08,million_rm
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2019,quantity,159185,tonnes
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2019,value_cif,2008.39,million_rm
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2019,quantity,927,head
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2019,value_cif,3.16,million_rm
MALAY_IMPORT,Cattle for breeding,No,FALSE,2019,quantity,657,head
MALAY_IMPORT,Cattle for breeding,No,FALSE,2019,value_cif,3.84,million_rm
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2019,quantity,36373,head
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2019,value_cif,108.62,million_rm
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2019,quantity,1561135,head
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2019,value_cif,66.46,million_rm
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2019,quantity,,head
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2019,value_cif,,million_rm
MALAY_IMPORT,Live Ducks,No,FALSE,2019,quantity,,head
MALAY_IMPORT,Live Ducks,No,FALSE,2019,value_cif,,million_rm
MALAY_IMPORT,Live goats,No,FALSE,2019,quantity,10224,head
MALAY_IMPORT,Live goats,No,FALSE,2019,value_cif,11.79,million_rm
MALAY_IMPORT,Live sheep,No,FALSE,2019,quantity,41745,head
MALAY_IMPORT,Live sheep,No,FALSE,2019,value_cif,31.39,million_rm
MALAY_IMPORT,Live swine,No,FALSE,2019,quantity,37,head
MALAY_IMPORT,Live swine,No,FALSE,2019,value_cif,0.31,million_rm
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2019,quantity,31348.7,tonnes
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2019,value_cif,679.48,million_rm
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2019,quantity,73289.9,tonnes
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2019,value_cif,677.25,million_rm
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2019,quantity,20470.1,tonnes
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2019,value_cif,251,million_rm
