dataset,year,livestock,gender,measure_type,value,unit
MALAY_RUMINANT_SWINE_PRICE,2015,Sheep,Male,price,23.3,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Swine,Female,price,21,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2015,Swine,Male,price,8.47,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Buffalo,Female,price,14.1,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Buffalo,Male,price,14.3,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Cross Bred Cattle,Female,price,13.4,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Cross Bred Cattle,Male,price,13.5,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Cross Bred Goat,Female,price,23.1,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Cross Bred Goat,Male,price,23.4,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Local Cattle,Female,price,13,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Local Cattle,Male,price,13.1,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Local Goat,Female,price,16.6,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Local Goat,Male,price,16.9,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Sheep,Female,price,23.3,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Sheep,Male,price,23,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Swine,Female,price,21.2,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2016,Swine,Male,price,8.64,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Buffalo,Female,price,14.25,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Buffalo,Male,price,14.6,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Cross Bred Cattle,Female,price,13.6,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Cross Bred Cattle,Male,price,13.65,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Cross Bred Goat,Female,price,23.3,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Cross Bred Goat,Male,price,23.6,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Local Cattle,Female,price,13.2,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Local Cattle,Male,price,13.3,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Local Goat,Female,price,16.9,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Local Goat,Male,price,17.1,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Sheep,Female,price,23.5,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Sheep,Male,price,23.6,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Swine,Female,price,21.3,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2017,Swine,Male,price,7.88,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Buffalo,Female,price,16.25,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Buffalo,Male,price,16.6,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Cross Bred Cattle,Female,price,14.35,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Cross Bred Cattle,Male,price,14.6,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Cross Bred Goat,Female,price,26.3,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Cross Bred Goat,Male,price,26.65,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Local Cattle,Female,price,14,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Local Cattle,Male,price,14.2,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Local Goat,Female,price,22.1,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Local Goat,Male,price,22.3,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Sheep,Female,price,25.4,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Sheep,Male,price,25.7,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Swine,Female,price,22,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2018,Swine,Male,price,6.55,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Buffalo,Female,price,16.4,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Buffalo,Male,price,17,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Cross Bred Cattle,Female,price,14.5,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Cross Bred Cattle,Male,price,14.9,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Cross Bred Goat,Female,price,26.9,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Cross Bred Goat,Male,price,27,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Local Cattle,Female,price,14,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Local Cattle,Male,price,14.5,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Local Goat,Female,price,25,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Local Goat,Male,price,26.5,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Sheep,Female,price,25,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Sheep,Male,price,25.3,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Swine,Female,price,22,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2019,Swine,Male,price,7.18,RM/Kg
