dataset,commodity,unit_source,is_total,year,measure_type,value,unit
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2019,quantity,520,head
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2019,value_cif,0.6,million_rm
MALAY_IMPORT,Cattle for breeding,No,FALSE,2019,quantity,76,head
MALAY_IMPORT,Cattle for breeding,No,FALSE,2019,value_cif,0.07,million_rm
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2019,quantity,,head
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2019,value_cif,,million_rm
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2019,quantity,4699552,head
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2019,value_cif,30.03,million_rm
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2019,quantity,50612360,head
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2019,value_cif,601.57,million_rm
MALAY_IMPORT,Live Ducks,No,FALSE,2019,quantity,5258718,head
MALAY_IMPORT,Live Ducks,No,FALSE,2019,value_cif,134.63,million_rm
MALAY_IMPORT,Live goats,No,FALSE,2019,quantity,,head
MALAY_IMPORT,Live goats,No,FALSE,2019,value_cif,,million_rm
MALAY_IMPORT,Live sheep,No,FALSE,2019,quantity,,head
MALAY_IMPORT,Live sheep,No,FALSE,2019,value_cif,,million_rm
MALAY_IMPORT,Live swine,No,FALSE,2019,quantity,56650,head
MALAY_IMPORT,Live swine,No,FALSE,2019,value_cif,56.86,million_rm
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2019,quantity,59.5,tonnes
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2019,value_cif,1.11,million_rm
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2019,quantity,43332.8,tonnes
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2019,value_cif,573.5,million_rm
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2019,quantity,1757.9,tonnes
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2019,value_cif,30,million_rm
